Реєстраційний номер	Унормована назва	Унормована назва латиницею	Вид географічного об'єкту	Адміністративно- територіальна одиниця (АР Крим, область)	Район	Широта	Довгота
Ф-33012	Ямиця	Yamytsia	урочище	Рівненська обл.	р-н Дубровицький	"N 51° 42’ 40"""	"E 26° 16’ 56"""
Ф-33018	Ямне	Yamne	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 15’ 28"""	"E 26° 59’ 40"""
Ф-33019	Ямне	Yamne	урочище	Рівненська обл.	р-н Зарічненський	"N 51° 50’ 44"""	"E 26° 19’ 21"""
Ф-3302	Карасин	Karasyn	озеро	Рівненська обл.		"N 51° 38’ 47"""	"E 26° 40’ 19"""
Ф-3303	Деревоцьке	Derevotske	болото	Рівненська обл.		"N 51° 34’ 36"""	"E 26° 52’ 0"""
Ф-33038	Тишкыв	Tyshkыv	урочище	Рівненська обл.	р-н Зарічненський	"N 51° 50’ 35"""	"E 25° 43’ 51"""
Ф-3305	Нижнє	Nyzhnie	озеро	Рівненська обл.		"N 51° 34’ 38"""	"E 26° 55’ 16"""
Ф-33056	Шахіри	Shakhiry	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 19’ 40"""	"E 27° 28’ 50"""
Ф-33065	Щуполь	Shchupol	урочище	Рівненська обл.	р-н Зарічненський	"N 51° 50’ 12"""	"E 26° 17’ 50"""
Ф-3307	Омит	Omyt	озеро	Рівненська обл.		"N 51° 54’ 38"""	"E 25° 46’ 36"""
Ф-33075	Черчиха	Cherchykha	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 15’ 49"""	"E 27° 24’ 4"""
Ф-33133	Юдина	Yudyna	урочище	Рівненська обл.	р-н Дубровицький	"N 51° 42’ 2"""	"E 26° 47’ 2"""
Ф-33181	Ямне	Yamne	урочище	Рівненська обл.	р-н Зарічненський	"N 51° 49’ 33"""	"E 26° 17’ 16"""
Ф-33187	Ямцева Нива	Yamtseva Nyva	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 8’ 53"""	"E 27° 20’ 21"""
Ф-33196	Холодок	Kholodok	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 7’ 20"""	"E 27° 2’ 34"""
Ф-3320	Відгалуження Стоходу	Vidhaluzhennia Stokhodu	рукав	Рівненська обл.		"N 51° 55’ 2"""	"E 25° 56’ 0"""
Ф-33213	Зубр	Zubr	урочище	Рівненська обл.	р-н Березнівський	"N 51° 6’ 35"""	"E 26° 45’ 33"""
Ф-3322	Ниговище	Nyhovyshche	озеро	Рівненська обл.		"N 51° 54’ 10"""	"E 25° 40’ 49"""
Ф-33233	Язвина	Yazvyna	урочище	Рівненська обл.	р-н Дубровицький	"N 51° 40’ 36"""	"E 26° 48’ 0"""
Ф-33237	Язвині	Yazvyni	урочище	Рівненська обл.	р-н Рівненський	"N 50° 44’ 32"""	"E 26° 14’ 28"""
Ф-33238	Язвинка	Yazvynka	урочище	Рівненська обл.	р-н Сарненський	"N 51° 25’ 29"""	"E 26° 51’ 44"""
Ф-3325	Крутежі	Krutezhi	річка	Рівненська обл.		"N 51° 54’ 40"""	"E 25° 58’ 50"""
Ф-3326	Вибій	Vybii	річка	Рівненська обл.		"N 51° 55’ 4"""	"E 25° 57’ 17"""
Ф-33263	Шисоха	Shysokha	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 23’ 11"""	"E 27° 10’ 37"""
Ф-33267	Сушилка	Sushylka	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 16’ 5"""	"E 27° 22’ 5"""
Ф-3327	Липинське	Lypynske	озеро	Рівненська обл.		"N 51° 53’ 31"""	"E 25° 57’ 0"""
Ф-3328	Горіхове	Horikhove	озеро	Рівненська обл.		"N 51° 46’ 52"""	"E 25° 48’ 50"""
Ф-33306	Талерже	Talerzhe	урочище	Рівненська обл.	р-н Дубровицький	"N 51° 43’ 27"""	"E 26° 51’ 31"""
Ф-3331	Середнє	Serednie	озеро	Рівненська обл.		"N 51° 43’ 26"""	"E 25° 50’ 8"""
Ф-33314	Четвертина	Chetvertyna	урочище	Рівненська обл.	р-н Радивилівський	"N 50° 18’ 20"""	"E 25° 21’ 28"""
Ф-33317	Чехівщина	Chekhivshchyna	урочище	Рівненська обл.	р-н Радивилівський	"N 50° 7’ 15"""	"E 25° 20’ 31"""
